,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
9197,070029.OF,嘉实安心货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
9204,070088.OF,嘉实货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9213,080011.OF,长盛货币A,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
9220,090005.OF,大成货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9235,090022.OF,大成现金增利A,货币市场型基金,货币市场型基金,银行活期存款利率,银行活期存款利率,,nan,,nan,,nan,,nan,,['银行活期存款利率'],银行活期存款利率,"['银行活期存款利率', nan]"
9237,091005.OF,大成货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9239,091022.OF,大成现金增利B,货币市场型基金,货币市场型基金,银行活期存款利率,银行活期存款利率,,nan,,nan,,nan,,nan,,['银行活期存款利率'],银行活期存款利率,"['银行活期存款利率', nan]"
9247,100025.OF,富国天时货币A,货币市场型基金,货币市场型基金,当期银行个人活期存款利率(税前),当期银行个人活期存款利率(税前),,nan,,nan,,nan,,nan,,['当期银行个人活期存款利率(税前)'],当期银行个人活期存款利率(税前),"['当期银行个人活期存款利率(税前)', nan]"
9249,100028.OF,富国天时货币B,货币市场型基金,货币市场型基金,当期银行个人活期存款利率(税前),当期银行个人活期存款利率(税前),,nan,,nan,,nan,,nan,,['当期银行个人活期存款利率(税前)'],当期银行个人活期存款利率(税前),"['当期银行个人活期存款利率(税前)', nan]"
9273,110006.OF,易方达货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9282,110016.OF,易方达货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9318,121011.OF,国投瑞银货币A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
9320,128011.OF,国投瑞银货币B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
9322,150005.OF,银河银富货币A,货币市场型基金,货币市场型基金,银行半年期定期存款利率(税后),银行半年期定期存款利率(税后),,nan,,nan,,nan,,nan,,['银行半年期定期存款利率(税后)'],银行半年期定期存款利率(税后),"['银行半年期定期存款利率(税后)', nan]"
9323,150015.OF,银河银富货币B,货币市场型基金,货币市场型基金,银行半年期定期存款利率(税后),银行半年期定期存款利率(税后),,nan,,nan,,nan,,nan,,['银行半年期定期存款利率(税后)'],银行半年期定期存款利率(税后),"['银行半年期定期存款利率(税后)', nan]"
9326,150988.OF,银河钱包货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
9327,150998.OF,银河钱包货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
9330,159001.OF,易方达保证金A,货币市场型基金,货币市场型基金,活期存款基准利率*(1-利息税税率),活期存款基准利率,(1-利息税税率),nan,,nan,,nan,,nan,,['活期存款基准利率*(1-利息税税率)'],活期存款基准利率*(1-利息税税率),"['活期存款基准利率', '(1-利息税税率)']"
9331,159002.OF,易方达保证金B,货币市场型基金,货币市场型基金,活期存款基准利率*(1-利息税税率),活期存款基准利率,(1-利息税税率),nan,,nan,,nan,,nan,,['活期存款基准利率*(1-利息税税率)'],活期存款基准利率*(1-利息税税率),"['活期存款基准利率', '(1-利息税税率)']"
9332,159003.OF,招商保证金快线A,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
9333,159004.OF,招商保证金快线B,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
9334,159005.OF,汇添富收益快钱A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9335,159006.OF,汇添富收益快钱B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9530,160606.OF,鹏华货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9533,160609.OF,鹏华货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9654,161608.OF,融通易支付货币A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
9661,161615.OF,融通易支付货币B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
9666,161622.OF,融通汇财宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9667,161623.OF,融通汇财宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9725,162206.OF,泰达宏利货币A,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
9788,163802.OF,中银货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9804,163820.OF,中银货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
9881,166014.OF,中欧货币A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
9882,166015.OF,中欧货币B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
9954,180008.OF,银华货币A,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
9955,180009.OF,银华货币B,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
9970,200003.OF,长城货币A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
9981,200103.OF,长城货币B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10007,202301.OF,南方现金增利A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10008,202302.OF,南方现金增利B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10011,202307.OF,南方收益宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10012,202308.OF,南方收益宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10038,210012.OF,金鹰货币A,货币市场型基金,货币市场型基金,一年期定期存款利率(税后),一年期定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期定期存款利率(税后)'],一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]"
10039,210013.OF,金鹰货币B,货币市场型基金,货币市场型基金,一年期定期存款利率(税后),一年期定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期定期存款利率(税后)'],一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]"
10047,213009.OF,宝盈货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10049,213909.OF,宝盈货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10054,217004.OF,招商现金增值A,货币市场型基金,货币市场型基金,一年期银行定期储蓄存款的利率(税后),一年期银行定期储蓄存款的利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期储蓄存款的利率(税后)'],一年期银行定期储蓄存款的利率(税后),"['一年期银行定期储蓄存款的利率(税后)', nan]"
10062,217014.OF,招商现金增值B,货币市场型基金,货币市场型基金,一年期银行定期储蓄存款的利率(税后),一年期银行定期储蓄存款的利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期储蓄存款的利率(税后)'],一年期银行定期储蓄存款的利率(税后),"['一年期银行定期储蓄存款的利率(税后)', nan]"
10093,240006.OF,华宝现金宝A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10094,240007.OF,华宝现金宝B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10113,253050.OF,国联安货币A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10114,253051.OF,国联安货币B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10126,260102.OF,景顺长城货币A,货币市场型基金,货币市场型基金,同期七天存款利率(税后),同期七天存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天存款利率(税后)'],同期七天存款利率(税后),"['同期七天存款利率(税后)', nan]"
10137,260202.OF,景顺长城货币B,货币市场型基金,货币市场型基金,同期七天存款利率(税后),同期七天存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天存款利率(税后)'],同期七天存款利率(税后),"['同期七天存款利率(税后)', nan]"
10145,270004.OF,广发货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10152,270014.OF,广发货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10172,288101.OF,华夏货币A,货币市场型基金,货币市场型基金,一年期定期存款收益率(税后),一年期定期存款收益率(税后),,nan,,nan,,nan,,nan,,['一年期定期存款收益率(税后)'],一年期定期存款收益率(税后),"['一年期定期存款收益率(税后)', nan]"
10174,288201.OF,华夏货币B,货币市场型基金,货币市场型基金,一年期定期存款收益率(税后),一年期定期存款收益率(税后),,nan,,nan,,nan,,nan,,['一年期定期存款收益率(税后)'],一年期定期存款收益率(税后),"['一年期定期存款收益率(税后)', nan]"
10175,290001.OF,泰信天天收益A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10192,310338.OF,申万菱信货币A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10193,310339.OF,申万菱信货币B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10201,320002.OF,诺安货币A,货币市场型基金,货币市场型基金,当期银行个人活期储蓄利率(税后),当期银行个人活期储蓄利率(税后),,nan,,nan,,nan,,nan,,['当期银行个人活期储蓄利率(税后)'],当期银行个人活期储蓄利率(税后),"['当期银行个人活期储蓄利率(税后)', nan]"
10218,320019.OF,诺安货币B,货币市场型基金,货币市场型基金,当期银行个人活期储蓄利率(税后),当期银行个人活期储蓄利率(税后),,nan,,nan,,nan,,nan,,['当期银行个人活期储蓄利率(税后)'],当期银行个人活期储蓄利率(税后),"['当期银行个人活期储蓄利率(税后)', nan]"
10223,340005.OF,兴全货币A,货币市场型基金,货币市场型基金,六个月银行定期存款利率(税后),六个月银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['六个月银行定期存款利率(税后)'],六个月银行定期存款利率(税后),"['六个月银行定期存款利率(税后)', nan]"
10230,350004.OF,天治天得利货币A,货币市场型基金,货币市场型基金,银行六个月定期储蓄存款利率(税后),银行六个月定期储蓄存款利率(税后),,nan,,nan,,nan,,nan,,['银行六个月定期储蓄存款利率(税后)'],银行六个月定期储蓄存款利率(税后),"['银行六个月定期储蓄存款利率(税后)', nan]"
10237,360003.OF,光大货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10250,370010.OF,上投摩根货币A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10251,37001B.OF,上投摩根货币B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10280,392001.OF,中海货币A,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
10281,392002.OF,中海货币B,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
10297,400005.OF,东方金账簿货币A,货币市场型基金,货币市场型基金,银行活期利率(税后),银行活期利率(税后),,nan,,nan,,nan,,nan,,['银行活期利率(税后)'],银行活期利率(税后),"['银行活期利率(税后)', nan]"
10298,400006.OF,东方金账簿货币B,货币市场型基金,货币市场型基金,银行活期利率(税后),银行活期利率(税后),,nan,,nan,,nan,,nan,,['银行活期利率(税后)'],银行活期利率(税后),"['银行活期利率(税后)', nan]"
10313,410002.OF,华富货币A,货币市场型基金,货币市场型基金,人民币一年期银行定期储蓄存款利率(税后),人民币一年期银行定期储蓄存款利率(税后),,nan,,nan,,nan,,nan,,['人民币一年期银行定期储蓄存款利率(税后)'],人民币一年期银行定期储蓄存款利率(税后),"['人民币一年期银行定期储蓄存款利率(税后)', nan]"
10326,420006.OF,天弘现金A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10330,420106.OF,天弘现金B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10350,460006.OF,华泰柏瑞货币A,货币市场型基金,货币市场型基金,当期银行活期存款收益率(税后),当期银行活期存款收益率(税后),,nan,,nan,,nan,,nan,,['当期银行活期存款收益率(税后)'],当期银行活期存款收益率(税后),"['当期银行活期存款收益率(税后)', nan]"
10355,460106.OF,华泰柏瑞货币B,货币市场型基金,货币市场型基金,当期银行活期存款收益率(税后),当期银行活期存款收益率(税后),,nan,,nan,,nan,,nan,,['当期银行活期存款收益率(税后)'],当期银行活期存款收益率(税后),"['当期银行活期存款收益率(税后)', nan]"
10392,482002.OF,工银瑞信货币,货币市场型基金,货币市场型基金,六个月银行定期存款利率(税后),六个月银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['六个月银行定期存款利率(税后)'],六个月银行定期存款利率(税后),"['六个月银行定期存款利率(税后)', nan]"
10610,511600.OF,华安日日鑫H,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10611,511620.OF,国泰瞬利,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10612,511650.OF,华夏快线,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10613,511660.OF,建信现金添益H,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税前),同期中国人民银行公布的七天通知存款利率(税前),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税前)'],同期中国人民银行公布的七天通知存款利率(税前),"['同期中国人民银行公布的七天通知存款利率(税前)', nan]"
10614,511670.OF,华泰紫金天天金A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10615,511690.OF,大成添益E,货币市场型基金,货币市场型基金,中国人民银行公布的人民币活期存款基准利率(税后),中国人民银行公布的人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的人民币活期存款基准利率(税后)'],中国人民银行公布的人民币活期存款基准利率(税后),"['中国人民银行公布的人民币活期存款基准利率(税后)', nan]"
10616,511700.OF,场内货币,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
10617,511770.OF,金鹰现金增益E,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10618,511800.OF,易方达货币E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10619,511810.OF,南方理财金H,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
10620,511820.OF,鹏华添利B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10621,511830.OF,华泰柏瑞交易货币A,货币市场型基金,货币市场型基金,当期银行活期存款利率(税后),当期银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['当期银行活期存款利率(税后)'],当期银行活期存款利率(税后),"['当期银行活期存款利率(税后)', nan]"
10622,511850.OF,招商财富宝E,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
10623,511860.OF,博时保证金,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10624,511880.OF,银华交易货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10625,511900.OF,富国收益宝H,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10626,511910.OF,融通易支付货币E,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10627,511920.OF,广发货币E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10628,511930.OF,中融日日盈A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
10629,511950.OF,广发添利A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
10630,511960.OF,嘉实快线H,货币市场型基金,货币市场型基金,按中国人民银行公布币活期存款利率(税后),按中国人民银行公布币活期存款利率(税后),,nan,,nan,,nan,,nan,,['按中国人民银行公布币活期存款利率(税后)'],按中国人民银行公布币活期存款利率(税后),"['按中国人民银行公布币活期存款利率(税后)', nan]"
10631,511970.OF,国寿安保货币E,货币市场型基金,货币市场型基金,7天通知存款利率(税后),7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['7天通知存款利率(税后)'],7天通知存款利率(税后),"['7天通知存款利率(税后)', nan]"
10632,511980.OF,汇添富添富通E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
10633,511990.OF,华宝现金添益A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
10956,519501.OF,万家货币R,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10957,519505.OF,海富通货币A,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
10958,519506.OF,海富通货币B,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
10959,519507.OF,万家货币B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10960,519508.OF,万家货币A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
10961,519509.OF,浦银安盛货币A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
