,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
11236,580007.OF,东吴安享量化,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中国债券综合全价指数收益率*45%,沪深300指数收益率,55%,中国债券综合全价指数收益率,45%
11238,580009.OF,东吴多策略,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中国债券综合全价指数收益率*50%,沪深300指数收益率,50%,中国债券综合全价指数收益率,50%
11239,582003.OF,东吴配置优化,混合型基金,灵活配置型基金,沪深300指数*50%+中国债券综合全价指数*50%,沪深300指数,50%,中国债券综合全价指数,50%
11247,590001.OF,中邮核心优选,混合型基金,偏股混合型基金,沪深300指数*80%+中国债券总指数*20%,沪深300指数,80%,中国债券总指数,20%
11248,590002.OF,中邮核心成长,混合型基金,偏股混合型基金,沪深300指数*80%+中国债券总指数*20%,沪深300指数,80%,中国债券总指数,20%
11249,590003.OF,中邮核心优势,混合型基金,灵活配置型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%
11250,590005.OF,中邮核心主题,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
11251,590006.OF,中邮中小盘灵活配置,混合型基金,灵活配置型基金,中证700指数*60%+中国债券总指数*40%,中证700指数,60%,中国债券总指数,40%
11253,590008.OF,中邮战略新兴产业,混合型基金,偏股混合型基金,中证新兴产业指数*75%+上证国债指数*25%,中证新兴产业指数,75%,上证国债指数,25%
11256,610001.OF,信达澳银领先增长,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中国债券总指数收益率*20%,沪深300指数收益率,80%,中国债券总指数收益率,20%
11257,610002.OF,信达澳银精华,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
11259,610004.OF,信达澳银中小盘,混合型基金,偏股混合型基金,中证700指数收益率*80%+中国债券总指数收益率*20%,中证700指数收益率,80%,中国债券总指数收益率,20%
11260,610005.OF,信达澳银红利回报,混合型基金,偏股混合型基金,中证红利指数收益率*80%+中国债券总指数收益率*20%,中证红利指数收益率,80%,中国债券总指数收益率,20%
11261,610006.OF,信达澳银产业升级,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中国债券总指数收益率*20%,沪深300指数收益率,80%,中国债券总指数收益率,20%
11262,610007.OF,信达澳银消费优选,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债总财富指数收益率*20%,沪深300指数收益率,80%,中债总财富指数收益率,20%
11266,620001.OF,金元顺安宝石动力,混合型基金,偏股混合型基金,中信标普300指数*50%+中证综合债指数*50%,中信标普300指数,50%,中证综合债指数,50%
11267,620002.OF,金元顺安成长动力,混合型基金,灵活配置型基金,标普中国A股300指数*55%+中证综合债指数*45%,标普中国A股300指数,55%,中证综合债指数,45%
11269,620004.OF,金元顺安价值增长,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证国债指数收益率*20%,沪深300指数收益率,80%,中证国债指数收益率,20%
11270,620006.OF,金元顺安消费主题,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中国债券总指数收益率*20%,沪深300指数收益率,80%,中国债券总指数收益率,20%
11271,620007.OF,金元顺安优质精选A,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中国债券总指数收益率*45%,沪深300指数收益率,55%,中国债券总指数收益率,45%
11275,630001.OF,华商领先企业,混合型基金,偏股混合型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%
11276,630002.OF,华商盛世成长,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
11278,630005.OF,华商动态阿尔法,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
11279,630006.OF,华商产业升级,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
11281,630008.OF,华商策略精选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
11283,630010.OF,华商价值精选,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
11284,630011.OF,华商主题精选,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
11286,630015.OF,华商大盘量化精选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
11287,630016.OF,华商价值共享灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
11294,660001.OF,农银汇理行业成长A,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
11296,660003.OF,农银汇理平衡双利,混合型基金,偏股混合型基金,沪深300指数*55%+中证全债指数*45%,沪深300指数,55%,中证全债指数,45%
11297,660004.OF,农银汇理策略价值,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
11298,660005.OF,农银汇理中小盘,混合型基金,偏股混合型基金,中证700指数收益率*75%+中证全债指数收益率*25%,中证700指数收益率,75%,中证全债指数收益率,25%
11299,660006.OF,农银汇理大盘蓝筹,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
11303,660010.OF,农银汇理策略精选,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
11305,660012.OF,农银汇理消费主题A,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
11306,660015.OF,农银汇理行业轮动,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
11311,671010.OF,西部利得策略优选A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
11313,673010.OF,西部利得新动向,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
11315,673030.OF,西部利得多策略优选,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
