,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
4052,005513.OF,南华瑞恒中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4053,005514.OF,南华瑞恒中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4064,005525.OF,工银瑞信瑞祥定开,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4066,005527.OF,中信建投山西国有企业债A,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4067,005528.OF,中信建投山西国有企业债C,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4068,005529.OF,银华华茂,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4070,005531.OF,华安安悦A,债券型基金,中长期纯债型基金,中债综合全价指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合全价指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合全价指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合全价指数收益率*90%,"['中债综合全价指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4071,005532.OF,华安安悦C,债券型基金,中长期纯债型基金,中债综合全价指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合全价指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合全价指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合全价指数收益率*90%,"['中债综合全价指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4082,005547.OF,诺安圆鼎定期开放,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数', nan, nan, nan]",中债综合全价(总值)指数,"['中债综合全价(总值)指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4083,005548.OF,诺安鑫享定期开放,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数', nan, nan, nan]",中债综合全价(总值)指数,"['中债综合全价(总值)指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4091,005556.OF,汇安裕华纯债,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4098,005573.OF,东吴悦秀纯债A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4099,005574.OF,东吴悦秀纯债C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4100,005575.OF,长信稳鑫三个月定开,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4102,005577.OF,交银丰晟收益A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4103,005578.OF,交银丰晟收益C,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4104,005579.OF,光大晟利A,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4105,005580.OF,光大晟利C,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4106,005581.OF,华夏3-5年中高级可质押信用债ETF联接A,债券型基金,被动指数型债券基金,上证3-5年期中高评级可质押信用债指数收益率*95%+银行活期存款利率(税后)*5%,上证3-5年期中高评级可质押信用债指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['上证3-5年期中高评级可质押信用债指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",上证3-5年期中高评级可质押信用债指数收益率*95%,"['上证3-5年期中高评级可质押信用债指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
4107,005582.OF,华夏3-5年中高级可质押信用债ETF联接C,债券型基金,被动指数型债券基金,上证3-5年期中高评级可质押信用债指数收益率*95%+银行活期存款利率(税后)*5%,上证3-5年期中高评级可质押信用债指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['上证3-5年期中高评级可质押信用债指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",上证3-5年期中高评级可质押信用债指数收益率*95%,"['上证3-5年期中高评级可质押信用债指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
4113,005590.OF,汇添富鑫永定期开放A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4114,005591.OF,汇添富鑫永定期开放C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4117,005594.OF,招商添润3个月定开A,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4118,005595.OF,招商添润3个月定开C,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4124,005601.OF,汇安中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4125,005602.OF,汇安中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4126,005606.OF,招商招鸿6个月定开,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4130,005610.OF,中银泰享定期开放,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4131,005611.OF,中银证券汇享定期开放,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4137,005617.OF,中信保诚嘉鑫3个月定开,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,,"['中证综合债指数收益率', nan, nan, nan]",中证综合债指数收益率,"['中证综合债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4142,005622.OF,博时富安纯债3个月,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合财富(总值)指数收益率*90%,"['中债综合财富(总值)指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4143,005623.OF,广发中债1-3年农发债A,债券型基金,被动指数型债券基金,中债-1-3年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年农发行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-1-3年农发行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-1-3年农发行债券指数收益率*95%,"['中债-1-3年农发行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
