,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
4013,005468.OF,华泰紫金智盈C,债券型基金,中长期纯债型基金,中债信用债总指数收益率,中债信用债总指数收益率,,nan,,nan,,nan,,nan,,"['中债信用债总指数收益率', nan, nan, nan]",中债信用债总指数收益率,"['中债信用债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4014,005469.OF,南方浙利,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4015,005470.OF,南方乾利,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4016,005471.OF,招商招财通C,债券型基金,短期纯债型基金,每个封闭期同期对应的三个月期定期存款利率(税后)*1.1,每个封闭期同期对应的三个月期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,,"['每个封闭期同期对应的三个月期定期存款利率(税后)*1.1', nan, nan, nan]",每个封闭期同期对应的三个月期定期存款利率(税后)*1.1,"['每个封闭期同期对应的三个月期定期存款利率(税后)', '1.1']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4021,005476.OF,南方涪利,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4024,005479.OF,安信永泰,债券型基金,混合债券型二级基金,中债总指数(全价)收益率*80%+沪深300指数收益率*20%,中债总指数(全价)收益率,80%,沪深300指数收益率,20%,nan,,nan,,nan,,"['中债总指数(全价)收益率*80%', '沪深300指数收益率*20%', nan, nan]",中债总指数(全价)收益率*80%,"['中债总指数(全价)收益率', '80%']",沪深300指数收益率*20%,"['沪深300指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
4025,005480.OF,诺安联创顺鑫C,债券型基金,中长期纯债型基金,中债总财富(1-3年)指数收益率,中债总财富(1-3年)指数收益率,,nan,,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率', nan, nan, nan]",中债总财富(1-3年)指数收益率,"['中债总财富(1-3年)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4029,005485.OF,海富通恒丰,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4032,005488.OF,天弘尊享定开,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4041,005497.OF,鑫元永利,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4043,005500.OF,银华岁盈定期开放,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4044,005501.OF,华安安逸半年定开,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4046,005503.OF,汇添富理财60天E,债券型基金,短期纯债型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,"['七天通知存款利率(税后)', nan, nan, nan]",七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4050,005507.OF,永赢丰利A,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4051,005508.OF,永赢丰利C,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
